attack,level,dt_level,mal_nodes,is_malicious,method,R2_m,R4_m,Rep_m,pi_m,KL_q_p_m,passed_gate_m,R2_s,R4_s,Rep_s,pi_s,KL_q_p_s,passed_gate_s,count
dt_logit_scale,,D0,5,0,weighted,0.7310585786300049,0.7373048677610393,212.56907193570692,212.56907193570692,0.30684126675128937,0.8,0.0,0.04860261446949634,293.9000176876287,293.9000176876287,0.06398045026251506,0.4,25
dt_logit_scale,,D0,5,0,weighted_r4only,0.5,0.6668745659167474,5.5403377590724965,5.5403377590724965,0.40688260674476623,0.2,0.0,0.039787490554639066,2.801957547159433,2.801957547159433,0.05839755340818301,0.4,25
dt_logit_scale,,D0,5,1,weighted,0.7310585786300049,0.6147651607350112,36.024172358239106,36.024172358239106,0.4958214795589447,0.12,0.0,0.08132564793136124,80.80705148515075,80.80705148515075,0.13924827136485057,0.32496153618543844,25
dt_logit_scale,,D0,5,1,weighted_r4only,0.5,0.5031948408506058,0.9740636793827899,0.9740636793827899,0.6923244071006774,0.0,0.0,0.055203504793567545,0.9540584287130327,0.9540584287130327,0.10327352647325026,0.0,25
label_flip,L1,D0,5,0,weighted,0.7310585786300049,0.6734575752158363,36.5263128430215,36.5263128430215,0.3961312699317932,0.16,0.0,0.02676995271614687,17.29784001332604,17.29784001332604,0.040162190346155306,0.36660605559646714,25
label_flip,L1,D0,5,0,weighted_r4only,0.5,0.5935121565238457,2.552507454900684,2.552507454900684,0.525411319732666,0.0,0.0,0.05095311038150516,1.4600435210060538,1.4600435210060538,0.08636720503735919,0.0,25
label_flip,L1,D0,5,1,weighted,0.7310585786300049,0.557400006426161,5.013898284719397,5.013898284719397,0.5924241530895233,0.0,0.0,0.06722231325371099,4.326622399314768,4.326622399314768,0.12901754432018112,0.0,25
label_flip,L1,D0,5,1,weighted_r4only,0.5,0.48266350509489164,0.750037303790932,0.750037303790932,0.7349632132053375,0.0,0.0,0.056399844733232285,0.657064317160254,0.657064317160254,0.11309292127457755,0.0,25
stealth_amp,,D0,5,0,weighted,0.7310585786300049,0.7183794708160921,84.84191393154799,84.84191393154799,0.3310080897808075,0.92,0.0,0.01605701138629928,27.72089197409443,27.72089197409443,0.022417682950835904,0.2712931993250107,25
stealth_amp,,D0,5,0,weighted_r4only,0.5,0.7230287776918507,9.435583207235297,9.435583207235297,0.3246164906024933,0.92,0.0,0.01788747661269575,1.6131182387973866,1.6131182387973866,0.024996390338804134,0.2712931993250107,25
stealth_amp,,D0,5,1,weighted,0.7310585786300049,0.00044794562175456075,3.034858075432228e-08,3.034858075432228e-08,8.546592254638671,0.0,0.0,0.0005080780711577366,3.476625381583089e-08,3.476625381583089e-08,1.4736377235558387,0.0,25
stealth_amp,,D0,5,1,weighted_r4only,0.5,0.00044890260918436104,4.3661890695262614e-06,4.3661890695262614e-06,8.550213508605957,0.0,0.0,0.0005149036865659075,5.032864638678829e-06,5.032864638678829e-06,1.471658799604517,0.0,25
