attack,dt_level,mal_nodes,method,clean_f1_m,clean_f1_s,polluted_f1_m,polluted_f1_s,delta_f1_m,delta_f1_s,count
dt_logit_scale,D0,0,mean,0.7602788133576462,0.00873374800056852,0.7654278417539853,0.005112153166308012,-0.005149028396339084,0.005519962087655509,5
dt_logit_scale,D0,0,median,0.76357277408616,0.007921090291659936,0.7673370939161375,0.003782340047739822,-0.0037643198299775584,0.0060127336032845735,5
dt_logit_scale,D0,0,trimmed_mean,0.7627413558384774,0.008232791770208499,0.7671526260808831,0.00556573215434869,-0.004411270242405796,0.005646846264300588,5
dt_logit_scale,D0,0,weighted,0.7606347137576678,0.00887461255162654,0.765581482431427,0.005176640168417612,-0.004946768673759228,0.005754063932850014,5
dt_logit_scale,D0,5,mean,0.5613064151580686,0.1142362829812569,0.559856425041912,0.11706914735053474,0.001449990116156441,0.004287803509474096,5
dt_logit_scale,D0,5,median,0.6429753165144237,0.03834110094170197,0.639549867133815,0.04164936661828255,0.003425449380608714,0.006863982435901773,5
dt_logit_scale,D0,5,trimmed_mean,0.5948564615294232,0.1182267024019242,0.5951805139311426,0.1228823940157791,-0.0003240524017194213,0.00537372919386175,5
dt_logit_scale,D0,5,weighted,0.7711995244781871,0.026965966799009256,0.7763841914193913,0.022813067943965447,-0.005184666941204119,0.004911364333332212,5
label_flip,D0,0,mean,0.7602788133576462,0.00873374800056852,0.7654278417539853,0.005112153166308012,-0.005149028396339084,0.005519962087655509,5
label_flip,D0,0,median,0.76357277408616,0.007921090291659936,0.7673370939161375,0.003782340047739822,-0.0037643198299775584,0.0060127336032845735,5
label_flip,D0,0,trimmed_mean,0.7627413558384774,0.008232791770208499,0.7671526260808831,0.00556573215434869,-0.004411270242405796,0.005646846264300588,5
label_flip,D0,0,weighted,0.7606347137576678,0.00887461255162654,0.765581482431427,0.005176640168417612,-0.004946768673759228,0.005754063932850014,5
label_flip,D0,3,mean,0.3587207092034334,0.08345881093220073,0.3650613424608568,0.07051911775707684,-0.006340633257423389,0.02725142012933485,5
label_flip,D0,3,median,0.7621158338730398,0.017521823420198576,0.6370496612333179,0.01157960133810791,0.12506617263972192,0.008192447795831406,5
label_flip,D0,3,trimmed_mean,0.7061057055144648,0.02703333242054835,0.5922782465750382,0.01177194895779247,0.11382745893942645,0.01689162921614048,5
label_flip,D0,3,weighted,0.7561745343115949,0.012489982378239974,0.6308361890276319,0.004490646161545878,0.125338345283963,0.008511339707266833,5
label_flip,D0,5,mean,0.31317212382990506,0.06587902237425647,0.32685111091705676,0.02547700593185812,-0.013678987087151751,0.04064829267532528,5
label_flip,D0,5,median,0.36709177572450014,0.10083989912139994,0.3660727464109649,0.07433327836283334,0.0010190293135351803,0.037599731684367685,5
label_flip,D0,5,trimmed_mean,0.31317212382990506,0.06587902237425647,0.32685111091705676,0.02547700593185812,-0.013678987087151751,0.04064829267532528,5
label_flip,D0,5,weighted,0.7368821292860254,0.022454743972314478,0.5568461941765771,0.012898273621079889,0.18003593510944843,0.010071875062149337,5
stealth_amp,D0,0,mean,0.7602788133576462,0.00873374800056852,0.7654278417539853,0.005112153166308012,-0.005149028396339084,0.005519962087655509,5
stealth_amp,D0,0,median,0.76357277408616,0.007921090291659936,0.7673370939161375,0.003782340047739822,-0.0037643198299775584,0.0060127336032845735,5
stealth_amp,D0,0,trimmed_mean,0.7627413558384774,0.008232791770208499,0.7671526260808831,0.00556573215434869,-0.004411270242405796,0.005646846264300588,5
stealth_amp,D0,0,weighted,0.7606347137576678,0.00887461255162654,0.765581482431427,0.005176640168417612,-0.004946768673759228,0.005754063932850014,5
stealth_amp,D0,5,mean,0.49279422746285995,0.07153593333616358,0.49491458750245626,0.06983737971649898,-0.0021203600395963028,0.005690473241809135,5
stealth_amp,D0,5,median,0.7132368471897708,0.04455144271215696,0.7168458891445258,0.037880765537022555,-0.003609041954755088,0.008433018077672282,5
stealth_amp,D0,5,trimmed_mean,0.49532775059908174,0.05836258633981293,0.4945440874645463,0.06005929195789033,0.0007836631345354173,0.006829660084943518,5
stealth_amp,D0,5,weighted,0.7637394221075601,0.004321473626446183,0.7691132464741921,0.005417302279695333,-0.0053738243666320296,0.004810253035338838,5
