attack_mode,attack,level,dt_level,mal_nodes,method,tau_gate,lambda_m,audit_size,ref_size,clean_f1_m,clean_f1_s,w_mal_m,w_mal_s,clean_acc_m,clean_acc_s,polluted_f1_m,polluted_f1_s,polluted_acc_m,polluted_acc_s,count
dt_logit_scale,dt_logit_scale,,D0,3,weighted,0.6,0.0,0,128,0.7747598927302521,0.016938279235202722,0.09298495044966533,0.026831234624431044,0.8100037336349487,0.007783670586767649,0.7799175798191132,0.013545371762612269,0.8123514294624329,0.00516793653467594,5
dt_logit_scale,dt_logit_scale,,D0,3,weighted,0.8,0.0,0,128,0.7744982049274421,0.016486149219088992,0.09002588141831155,0.02757193760867935,0.8099477529525757,0.007604522126713647,0.7795231020587119,0.0135679885454548,0.8121649861335755,0.005122781615519845,5
dt_logit_scale,dt_logit_scale,,D0,5,weighted,0.6,0.0,0,128,0.7706895518016739,0.02737676937805133,0.10340638616627609,0.04863270661038493,0.805300486087799,0.012394507858208453,0.7760459951697382,0.02313484263064956,0.8072710394859314,0.010851042086618303,5
dt_logit_scale,dt_logit_scale,,D0,5,weighted,0.8,0.0,0,128,0.7711089195746169,0.026978985063192802,0.10485615841827656,0.050165752822831464,0.8055431127548218,0.012122409704441907,0.7762709025660233,0.022598864416036115,0.8073642492294312,0.010496479011300358,5
label_flip,label_flip,L1,D0,3,weighted,0.6,0.0,0,128,0.7559446775453373,0.012854540373521588,0.05149575972829183,0.01780111601078059,0.8005225896835327,0.008494459847276781,0.6310444780141821,0.004263917064798279,0.6786762952804566,0.0025030343356087894,5
label_flip,label_flip,L1,D0,3,weighted,0.8,0.0,0,128,0.7562014826079818,0.012502212227163386,0.05037158721156872,0.011634834613108859,0.8006532311439514,0.00832122884635357,0.6310349346040003,0.004472038797140793,0.6785830736160279,0.003103633261911679,5
label_flip,label_flip,L1,D0,5,weighted,0.6,0.0,0,128,0.7355369592618799,0.022014948694040866,0.141183933636686,0.060764842813512875,0.7881112337112427,0.015999089085717556,0.5550196654064024,0.011830399940558714,0.6093684434890747,0.009037132678337006,5
label_flip,label_flip,L1,D0,5,weighted,0.8,0.0,0,128,0.7368821292860254,0.022454743972314478,0.1301092605240497,0.06463103265942699,0.7888577938079834,0.016169746277806932,0.5568461941765771,0.012898273621079889,0.610440468788147,0.009578844216583532,5
stealth_amp,stealth_amp,,D0,3,weighted,0.6,0.0,0,128,0.7628078885794922,0.008129349668106372,3.8210917043606414e-10,5.701271974450573e-10,0.8044419527053833,0.005387502765262835,0.7683505093211278,0.0054222984091938,0.8071312069892883,0.0031973896504932453,5
stealth_amp,stealth_amp,,D0,3,weighted,0.8,0.0,0,128,0.762872134523721,0.008084377750226059,3.1917657414815847e-10,4.724518175896086e-10,0.8044979453086853,0.0053513134034858505,0.7681452777047512,0.005716165708362832,0.8069447636604309,0.0034142558814226013,5
stealth_amp,stealth_amp,,D0,5,weighted,0.6,0.0,0,128,0.7638920756206068,0.004267768552348062,4.058364348176993e-10,1.0132335850997889e-10,0.8043299674987793,0.003135498932450534,0.7691092912917336,0.005626736009417398,0.8068049430847168,0.003434551225651621,5
stealth_amp,stealth_amp,,D0,5,weighted,0.8,0.0,0,128,0.7638290541970273,0.004411479189237886,3.392803503067499e-10,8.30838694059835e-11,0.8042553067207336,0.003278436386577838,0.7692460057223284,0.005346022443895459,0.8068981528282165,0.0032712933775353456,5
